filename	model_title	model_url	modelstate	contributor	provider	date	activity_iri	activity_xref	activity_label	complete	inputs	outputs	enablers	locations	causal upstream	causal downstream	part of n BP	MF	BP
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73621	development	[https://reactome.org/content/detail/R-HSA-73621]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-73585	"Reactome:R-HSA-73585"	"reduction of uracil to form dihydrouracil"	true	3	2	1	1	0	0	1	dihydropyrimidine dehydrogenase (NADP+) activity 	pyrimidine nucleoside catabolic process 
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73621	development	[https://reactome.org/content/detail/R-HSA-73621]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-73591	"Reactome:R-HSA-73591"	"conversion of 3-ureidopropionate to beta-alanine"	true	3	3	1	1	0	0	1	beta-ureidopropionase activity 	pyrimidine nucleoside catabolic process 
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73621	development	[https://reactome.org/content/detail/R-HSA-73621]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-73618	"Reactome:R-HSA-73618"	"5,6-dihydrothymine + H2O => beta-ureidoisobutyrate"	true	2	2	1	1	0	0	1	dihydropyrimidinase activity 	pyrimidine nucleoside catabolic process 
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73621	development	[https://reactome.org/content/detail/R-HSA-73621]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-109514	"Reactome:R-HSA-109514"	"TMP, (d)UMP, uridine 2' monophosphate, or uridine 3'-monophosphate + H2O => thymidine, deoxyuridine, or uridine + orthophosphate [NT5M]"	true	2	2	1	1	0	0	1	5'-nucleotidase activity 	pyrimidine nucleoside catabolic process 
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73621	development	[https://reactome.org/content/detail/R-HSA-73621]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-909755	"Reactome:R-HSA-909755"	"Mitochondrial uptake of (R)-3-aminoisobutyric acid"	false	1	1	0	0	0	0	1	transporter activity 	pyrimidine nucleoside catabolic process 
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73621	development	[https://reactome.org/content/detail/R-HSA-73621]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-909776	"Reactome:R-HSA-909776"	"beta-alanine + pyruvate => 3-oxopropanoate + alanine"	true	2	2	1	1	0	0	1	beta-alanine-pyruvate transaminase activity 	pyrimidine nucleoside catabolic process 
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73621	development	[https://reactome.org/content/detail/R-HSA-73621]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-909780	"Reactome:R-HSA-909780"	"(R)-3-aminoisobutyric acid + pyruvate => 2-methyl-3-oxopropanoate + alanine"	true	2	2	1	1	0	0	1	(R)-3-amino-2-methylpropionate-pyruvate transaminase activity 	pyrimidine nucleoside catabolic process 
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73621	development	[https://reactome.org/content/detail/R-HSA-73621]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-73620	"Reactome:R-HSA-73620"	"conversion of 3-Ureidoiosbutyrate to 3-Aminoisobutyrate"	true	3	3	1	1	0	0	1	beta-ureidopropionase activity 	pyrimidine nucleoside catabolic process 
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73621	development	[https://reactome.org/content/detail/R-HSA-73621]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-74376	"Reactome:R-HSA-74376"	"(deoxy)uridine + orthophosphate <=> uracil + (deoxy)ribose 1-phosphate (UPP)"	true	2	2	1	1	0	0	1	uridine phosphorylase activity 	pyrimidine nucleoside catabolic process 
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73621	development	[https://reactome.org/content/detail/R-HSA-73621]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-109480	"Reactome:R-HSA-109480"	"TMP, uridine 2', 3', or 5' monophosphates, or deoxyuridine 3' or 5' monophosphates + H2O => thymidine or (deoxy)uridine + orthophosphate [NT5C]"	true	2	2	1	1	0	0	1	5'-nucleotidase activity 	pyrimidine nucleoside catabolic process 
