filename	model_title	model_iri	node	Node_types	property	Intended_range_shapes	object	Object_types	Object_shapes
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:reaction_R-HSA-909780_location_lociGO_0005759	null	dc11:date	null	null	null	null
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:R-HSA-74376	[GO:0004850]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-74376_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:R-HSA-109380	[GO:0008253]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-109380_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:reaction_R-HSA-112265_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:reaction_R-HSA-109291_location_lociGO_0005886	null	dc11:date	null	null	null	null
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:reaction_R-HSA-909776_location_lociGO_0005759	null	dc11:date	null	null	null	null
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:reaction_R-HSA-73591_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:R-HSA-73585	[GO:0017113]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-73585_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:reaction_R-HSA-109480_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:reaction_R-HSA-73585_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:R-HSA-109449	[GO:0008253]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-109449_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:R-HSA-73618	[GO:0004157]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-73618_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:reaction_R-HSA-74376_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:reaction_R-HSA-73616_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:R-HSA-909776	[GO:0016223]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-909776_location_lociGO_0005759	[GO:0005759]	[]
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:R-HSA-109480	[GO:0008253]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-109480_location_lociGO_0005829	[GO:0005829]	[]
