filename	model_title	model_url	modelstate	contributor	provider	date	OWL_consistent	shex_valid	shex_meta_problem	shex_data_problem	validation_time_milliseconds	axioms	n_rows_gpad	activity units	n complete activity units	n root MF activity units	n root BP process	n root CC locations	n unenabled activity units	n unlocated activity units	n activity units unconnected to a BP	n connected biological processes	n causal relation assertions	n unconnected activities	n activities with no outgoing connections	n activities with no incoming connections	max length of connected causal subgraph	median_depth_MF	median_depth_BP	median_depth_cc
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73621	development	[https://reactome.org/content/detail/R-HSA-73621]	[https://reactome.org]	2021-07-27	true	false	false	true	10140	2625	63	18	15	0	1	0	2	3	0	1	1	16	17	17	1	5.0	35.0	2.0
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74217	development	[https://reactome.org/content/detail/R-HSA-74217]	[https://reactome.org]	2021-07-27	true	false	false	true	4358	1869	54	12	12	0	0	0	0	0	0	1	0	12	12	12	0	6.0	25.0	2.0
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	true	false	false	true	5826	2910	62	21	16	0	5	0	0	5	0	1	5	11	16	16	1	5.0	35.0	2.0
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73817	development	[https://reactome.org/content/detail/R-HSA-73817]	[https://reactome.org]	2021-07-27	true	false	false	true	6983	3439	56	27	14	0	10	0	7	10	0	1	10	13	17	23	1	4.0	35.0	2.0
R-HSA-73614.ttl	Pyrimidine salvage - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73614	development	[https://reactome.org/content/detail/R-HSA-73614]	[https://reactome.org]	2021-07-27	true	false	false	true	3218	1482	50	10	10	0	0	0	0	0	0	1	0	10	10	10	0	6.0	39.0	2.0
R-HSA-8956319.ttl	Nucleotide catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-8956319	development	[https://reactome.org/content/detail/R-HSA-8956319]	[https://reactome.org]	2021-07-27	true	false	false	true	1282	301	6	2	1	0	1	0	0	1	0	1	1	0	1	1	1	3.0	16.5	2.0
R-HSA-500753.ttl	Pyrimidine biosynthesis - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-500753	development	[https://reactome.org/content/detail/R-HSA-500753]	[https://reactome.org]	2021-07-27	true	false	false	true	2692	1143	22	7	6	0	0	0	1	1	0	1	0	7	7	7	0	5.0	35.0	2.0
R-HSA-8956320.ttl	Nucleotide biosynthesis - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-8956320	development	[https://reactome.org/content/detail/R-HSA-8956320]	[https://reactome.org]	2021-07-27	true	true	false	false	806	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN
R-HSA-15869.ttl	Nucleotide metabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-15869	development	[https://reactome.org/content/detail/R-HSA-15869]	[https://reactome.org]	2021-07-27	true	true	false	false	742	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN
R-HSA-8956321.ttl	Nucleotide salvage - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-8956321	development	[https://reactome.org/content/detail/R-HSA-8956321]	[https://reactome.org]	2021-07-27	true	true	false	false	1027	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN
R-HSA-2393930.ttl	Phosphate bond hydrolysis by NUDT proteins - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-2393930	development	[https://reactome.org/content/detail/R-HSA-2393930]	[https://reactome.org]	2021-07-27	true	false	false	true	5549	2933	55	19	17	0	2	0	0	2	0	1	2	15	17	17	1	6.0	13.0	2.0
R-HSA-499943.ttl	Interconversion of nucleotide di- and triphosphates - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-499943	development	[https://reactome.org/content/detail/R-HSA-499943]	[https://reactome.org]	2021-07-27	true	false	false	true	12608	5843	140	42	34	0	8	0	0	8	0	1	8	30	34	38	1	7.0	14.0	2.0
R-HSA-8850843.ttl	Phosphate bond hydrolysis by NTPDase proteins - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-8850843	development	[https://reactome.org/content/detail/R-HSA-8850843]	[https://reactome.org]	2021-07-27	true	false	false	true	3535	2039	48	12	12	0	0	0	0	0	0	1	0	12	12	12	0	6.0	23.0	3.0
